Ergodic cost: 226.921    i: 0/4000       perc: 0.00%     dt/Ts: 10.00    remaining: 200 s        elapsed: 0.1 s (200 s)
Ergodic cost: 223.131    i: 20/4000      perc: 0.50%     dt/Ts: 1.06     remaining: 21 s         elapsed: 0.2 s (21 s)
Ergodic cost: 215.746    i: 40/4000      perc: 1.00%     dt/Ts: 1.09     remaining: 22 s         elapsed: 0.3 s (22 s)
Ergodic cost: 203.949    i: 60/4000      perc: 1.50%     dt/Ts: 1.10     remaining: 22 s         elapsed: 0.4 s (22 s)
Ergodic cost: 188.845    i: 80/4000      perc: 2.00%     dt/Ts: 1.15     remaining: 23 s         elapsed: 0.6 s (23 s)
Ergodic cost: 173.431    i: 100/4000     perc: 2.50%     dt/Ts: 1.16     remaining: 23 s         elapsed: 0.7 s (23 s)
Ergodic cost: 160.063    i: 120/4000     perc: 3.00%     dt/Ts: 1.20     remaining: 23 s         elapsed: 0.8 s (24 s)
Ergodic cost: 148.544    i: 140/4000     perc: 3.50%     dt/Ts: 1.24     remaining: 24 s         elapsed: 0.9 s (25 s)
Ergodic cost: 137.087    i: 160/4000     perc: 4.00%     dt/Ts: 1.26     remaining: 24 s         elapsed: 1.1 s (25 s)
Ergodic cost: 126.415    i: 180/4000     perc: 4.50%     dt/Ts: 1.28     remaining: 24 s         elapsed: 1.2 s (26 s)
Ergodic cost: 117.130    i: 200/4000     perc: 5.00%     dt/Ts: 1.46     remaining: 28 s         elapsed: 1.4 s (29 s)
Ergodic cost: 109.514    i: 220/4000     perc: 5.50%     dt/Ts: 1.49     remaining: 28 s         elapsed: 1.5 s (30 s)
Ergodic cost: 104.080    i: 240/4000     perc: 6.00%     dt/Ts: 1.41     remaining: 27 s         elapsed: 1.6 s (28 s)
Ergodic cost: 100.150    i: 260/4000     perc: 6.50%     dt/Ts: 1.38     remaining: 26 s         elapsed: 1.8 s (28 s)
Ergodic cost: 94.963     i: 280/4000     perc: 7.00%     dt/Ts: 1.42     remaining: 26 s         elapsed: 1.9 s (28 s)
Ergodic cost: 89.683     i: 300/4000     perc: 7.50%     dt/Ts: 1.41     remaining: 26 s         elapsed: 2.1 s (28 s)
Ergodic cost: 89.082     i: 320/4000     perc: 8.00%     dt/Ts: 1.45     remaining: 27 s         elapsed: 2.2 s (29 s)
Ergodic cost: 83.592     i: 340/4000     perc: 8.50%     dt/Ts: 1.45     remaining: 27 s         elapsed: 2.4 s (29 s)
Ergodic cost: 78.238     i: 360/4000     perc: 9.00%     dt/Ts: 1.46     remaining: 27 s         elapsed: 2.5 s (29 s)
Ergodic cost: 77.438     i: 380/4000     perc: 9.50%     dt/Ts: 1.51     remaining: 27 s         elapsed: 2.7 s (30 s)
Ergodic cost: 74.295     i: 400/4000     perc: 10.00%    dt/Ts: 1.58     remaining: 28 s         elapsed: 2.8 s (31 s)
Ergodic cost: 71.915     i: 420/4000     perc: 10.50%    dt/Ts: 1.58     remaining: 28 s         elapsed: 3.0 s (31 s)
Ergodic cost: 69.905     i: 440/4000     perc: 11.00%    dt/Ts: 1.60     remaining: 28 s         elapsed: 3.2 s (32 s)
Ergodic cost: 67.997     i: 460/4000     perc: 11.50%    dt/Ts: 1.61     remaining: 28 s         elapsed: 3.3 s (32 s)
Ergodic cost: 66.087     i: 480/4000     perc: 12.00%    dt/Ts: 1.66     remaining: 29 s         elapsed: 3.5 s (33 s)
Ergodic cost: 64.344     i: 500/4000     perc: 12.50%    dt/Ts: 1.69     remaining: 30 s         elapsed: 3.7 s (33 s)
Ergodic cost: 63.480     i: 520/4000     perc: 13.00%    dt/Ts: 1.74     remaining: 30 s         elapsed: 3.8 s (34 s)
Ergodic cost: 62.169     i: 540/4000     perc: 13.50%    dt/Ts: 1.77     remaining: 31 s         elapsed: 4.0 s (35 s)
Ergodic cost: 62.800     i: 560/4000     perc: 14.00%    dt/Ts: 1.72     remaining: 30 s         elapsed: 4.2 s (34 s)
Ergodic cost: 59.894     i: 580/4000     perc: 14.50%    dt/Ts: 1.72     remaining: 29 s         elapsed: 4.4 s (34 s)
Ergodic cost: 59.696     i: 600/4000     perc: 15.00%    dt/Ts: 1.73     remaining: 29 s         elapsed: 4.5 s (34 s)
Ergodic cost: 59.808     i: 620/4000     perc: 15.50%    dt/Ts: 1.69     remaining: 29 s         elapsed: 4.7 s (33 s)
Ergodic cost: 60.051     i: 640/4000     perc: 16.00%    dt/Ts: 1.73     remaining: 29 s         elapsed: 4.9 s (34 s)
Ergodic cost: 60.214     i: 660/4000     perc: 16.50%    dt/Ts: 1.77     remaining: 30 s         elapsed: 5.1 s (35 s)
Ergodic cost: 60.171     i: 680/4000     perc: 17.00%    dt/Ts: 1.73     remaining: 29 s         elapsed: 5.2 s (34 s)
